team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
Gentle Mates,Ancient,38.92,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Inferno,57.46,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Mirage,57.08,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Nuke,36.63,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Overpass,61.51,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Ancient,47.99,7,0.00,21.13,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Dust2,72.01,17,21.21,2.82,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Inferno,47.92,13,12.12,4.23,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Mirage,38.00,12,18.18,9.86,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Nuke,76.85,14,45.45,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Overpass,51.50,6,3.03,15.49,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Ancient,36.14,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Anubis,62.55,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Dust2,49.60,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Mirage,39.02,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Nuke,39.63,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Overpass,37.78,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
INFINITE,Dust2,38.99,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
INFINITE,Inferno,37.57,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Inferno,38.50,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Mirage,43.90,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Nuke,37.91,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Ancient,49.29,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Dust2,39.56,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Mirage,40.87,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Overpass,39.40,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Ancient,62.20,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Anubis,49.26,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Dust2,50.44,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Inferno,69.62,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Mirage,59.76,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Dust2,44.02,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Inferno,37.16,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Mirage,36.00,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Overpass,35.68,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Ancient,38.10,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Anubis,62.30,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
