team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
JiJieHao,Ancient,67.48,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Anubis,48.40,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Dust2,50.40,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Inferno,94.97,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Mirage,88.74,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Dust2,33.47,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Inferno,8.85,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Mirage,6.85,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Overpass,5.65,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Ancient,7.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Anubis,91.14,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Nuke,92.35,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Overpass,8.05,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Dust2,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Mirage,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Nuke,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Overpass,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Ancient,34.53,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Dust2,66.53,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Inferno,51.00,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Mirage,95.00,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Nuke,65.73,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Ancient,28.73,14,20.00,6.15,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Anubis,38.20,3,4.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Dust2,30.55,10,20.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Inferno,66.00,9,4.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Mirage,54.16,9,36.00,3.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Nuke,30.86,10,16.00,4.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Ancient,11.26,1,4.76,2.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Anubis,8.86,1,0.00,20.93,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
